
  2024-12-26 15:32:02 Running ['artisan' app:handle-package-expiry]  260.80ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:33:01 Running ['artisan' app:handle-package-expiry]  269.60ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:34:02 Running ['artisan' app:handle-package-expiry]  261.53ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:35:02 Running ['artisan' app:handle-package-expiry]  250.55ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:36:02 Running ['artisan' app:handle-package-expiry]  251.61ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:37:01 Running ['artisan' app:handle-package-expiry]  252.59ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:38:01 Running ['artisan' app:handle-package-expiry]  302.42ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:39:02 Running ['artisan' app:handle-package-expiry]  246.65ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:40:02 Running ['artisan' app:handle-package-expiry]  264.13ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:41:01 Running ['artisan' app:handle-package-expiry]  251.86ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:42:01 Running ['artisan' app:handle-package-expiry]  270.89ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:43:01 Running ['artisan' app:handle-package-expiry]  263.39ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:44:02 Running ['artisan' app:handle-package-expiry]  245.86ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


  2024-12-26 15:45:02 Running ['artisan' app:handle-package-expiry]  283.84ms DONE
  ⇂ '/opt/cpanel/ea-php82/root/usr/bin/php' 'artisan' app:handle-package-expiry > '/dev/null' 2>&1  


